math score,Reading Score,Writing Score,Placement Score,Club join Date
98,78,45,99,2011.3
25,50,34,67.2,2022.7
37,49,45,23.4,2022.6
NaN,48,NaN,34.7,2023.1
55,23,43,NaN,2023.2
65,45,21,23,2022.5
34,56,34,45.6,2002.6
78,34,56,78.9,2003.6
23,45,78,34.2,2003.4
12,NaN,65,35.6,NaN
34,23,43,67.9,2005.8
56,34,45,45.7,2005.9
78,45,NaN,NaN,2005.6
45,56,56,45,2008.9
NaN,67,89,NaN,2005.5
33,90,45,45.6,2005.5
34,NaN,34,56.8,2011.4
35,45,32,56.4,2012.2
56,23,56,23.5,2012.3
57,65,54,90.8,2012.5
58,64,56,99,2012.4
NaN,34,67,45.4,2012.4
34,18,89,23.5,NaN
87,97,NaN,34.5,2012.3
85,90,65,34.8,2014.6
74,23,45,NaN,2015.8
56,42,34,34,2016.7
43,43,23,67,2018.9
56,44,45,89,2019.4
76,67,67,88,NaN
